year,name,driverRef,statusId,Extra Trees_statusId_1_3,Random Forest_statusId_1_3,Gradient Boosting_statusId_1_3,Logistic Regression_statusId_1_3,KNN_statusId_1_3,SVC_statusId_1_3,LDA_statusId_1_3,MLP_statusId_1_3,Extra Trees_statusId_1_4,Random Forest_statusId_1_4,Gradient Boosting_statusId_1_4,Logistic Regression_statusId_1_4,KNN_statusId_1_4,SVC_statusId_1_4,LDA_statusId_1_4,MLP_statusId_1_4,Extra Trees_statusId_1_5,Random Forest_statusId_1_5,Gradient Boosting_statusId_1_5,Logistic Regression_statusId_1_5,KNN_statusId_1_5,SVC_statusId_1_5,LDA_statusId_1_5,MLP_statusId_1_5
2016,Mexican Grand Prix,hamilton,1.0,0.8,1.0,0.9826714297677133,0.5250619779736065,0.6,0.7299972686268714,0.016360801821209636,0.5683095979204761,1.0,1.0,0.9394514149854037,0.7628416583766453,0.6,0.7382145658650903,0.6513548646660542,0.7767642557806473,0.8,1.0,0.9931583089613837,0.7932324697520077,0.8,0.841528489502226,0.34864513533394575,0.9077203938556092
2016,Mexican Grand Prix,rosberg,1.0,0.8,0.6,0.9336995033383986,0.737700737447468,1.0,0.7279556121431494,0.02988278169922099,0.8510464733123051,0.6,0.9,0.9710304190914738,0.9221170987481729,0.8,0.7324703204245694,0.9046505351008906,0.9365205028991087,0.6,0.5,0.8969143870593335,0.8032053801198977,1.0,0.8448038819385317,0.40733340004593027,0.8428226940456396
2016,Mexican Grand Prix,vettel,1.0,0.9,0.9,0.9253445761771943,0.819862121209165,1.0,0.7330764552467215,0.3535217547588597,0.999266205442594,1.0,1.0,0.8611017649216364,0.9733223685978533,1.0,0.7448147660088339,0.9890130573694068,0.9999478737797055,0.7,0.8,0.992084862719646,0.5828681461812328,0.8,0.8417565095314593,0.2689414213699951,0.9555713656991849
2016,Mexican Grand Prix,raikkonen,1.0,0.9,0.9,0.9827543719439396,0.9498016924795691,1.0,0.7314997128039203,0.7770682042659104,0.9998982118192676,0.8,1.0,0.9748546917005668,0.9888214279180803,1.0,0.7442710626844298,0.9953904278206259,0.999985439524599,0.8,0.7,0.9123129761939558,0.8100221250561588,0.8,0.8389240359170361,0.5312093733737563,0.9910899553856424
2016,Mexican Grand Prix,massa,1.0,0.9,0.9,0.9971495561757531,0.6936649739197133,0.8,0.7145113477698448,0.1402937177085642,0.8628182530360189,1.0,0.9,0.9982985012183881,0.846042759237102,0.8,0.7212444183527998,0.8175744761936437,0.9268736968861234,1.0,0.9,0.9979583457498197,0.8330416572490914,1.0,0.8672010868377178,0.6224593312018546,0.9574486254197752
2016,Mexican Grand Prix,bottas,1.0,0.8,0.8,0.9858489111595252,0.27909702368243844,0.6,0.762103756908726,0.011589958145235056,0.2148547538742645,1.0,0.9,0.99624979648429,0.5765450258030964,0.6,0.7661094695153594,0.5,0.5510538319929837,0.8,0.7,0.8966018576291566,0.7072872878810591,0.8,0.8293249775351099,0.40733340004593027,0.764335746560231
2016,Mexican Grand Prix,ricciardo,1.0,0.9,0.9,0.9900529101822341,0.796427198600576,0.8,0.7027347496993988,0.1605266905879909,0.9238851957067783,1.0,0.9,0.9587164991768913,0.8993570360183063,0.8,0.7154880103959724,0.8933094060543487,0.9533173267771287,0.9,0.9,0.9946221192511393,0.8474276827059328,1.0,0.8674643797400855,0.5621765008857981,0.9547983980089636
2016,Mexican Grand Prix,verstappen,1.0,0.9,0.9,0.9922238513229191,0.8076426928116691,0.8,0.7020610135524963,0.1753949779562498,0.9341747438266373,1.0,0.9,0.9776491160682462,0.9062699196754859,0.8,0.7150949785795337,0.9046505351008906,0.9588194821090462,1.0,0.9,0.9959007805275064,0.850788999441208,1.0,0.8665461142428418,0.5621765008857981,0.9555969688982875
2016,Mexican Grand Prix,hulkenberg,1.0,0.9,0.8,0.991730938797487,0.7217428205069486,0.8,0.7142544891437311,0.16068337025609986,0.9016193892930519,1.0,0.9,0.9964070299668017,0.8706538561238538,0.8,0.7243869999359572,0.8519528019683106,0.9371073121264479,0.9,1.0,0.9584197072511936,0.811577157969825,1.0,0.8555166959734561,0.5926665999540697,0.9268457776023336
2016,Mexican Grand Prix,perez,1.0,0.8,0.9,0.7046184109444534,0.6077910581182859,0.8,0.7267976077433346,0.0805761156882355,0.7574243423184389,1.0,0.8,0.9451106283735685,0.7923636178667716,0.8,0.7293401801826888,0.7549149868676283,0.8596560157321552,1.0,0.8,0.9803611548713332,0.7759448269655546,1.0,0.8576757182942186,0.5,0.926600721403256
2016,Mexican Grand Prix,magnussen,1.0,0.6,0.4,0.8565603170548842,0.2389484319211712,0.6,0.753541357701444,0.0015195967491692852,0.48492275077603086,0.8,0.5,0.9586639811611486,0.700977829507129,0.6,0.7573057370486085,0.6513548646660542,0.8731869802934643,1.0,0.7,0.895223112638338,0.4472187142767928,0.8,0.8252571790789412,0.11920292202211755,0.6973801917467445
2016,Mexican Grand Prix,palmer,1.0,0.9,0.6,0.9667197860570527,0.29446318296157054,0.6,0.7644647668801795,0.0030320414139485556,0.24463890282228162,1.0,0.8,0.9895462652791784,0.6396060876584988,0.6,0.7395960600612467,0.5621765008857981,0.5704702499335178,0.9,0.8,0.9605262927113907,0.5932138217954946,0.6,0.8206533534667381,0.20181322226037884,0.5566205614225076
